transaction_id,timestamp,store,customer_id,product_category,quantity,price
TX1001,2025-03-01T09:00:00Z,Store_A,CUST01,Electronics,1,299.99
TX1002,2025-03-01T09:05:00Z,Store_B,CUST02,Clothing,2,49.99
TX1003,2025-03-01T09:10:00Z,Store_A,CUST03,Home,1,89.99
TX1001,2025-03-01T09:00:00Z,Store_A,CUST01,Electronics,1,299.99
TX1004,2025-03-01T09:15:00Z,Store_C,CUST04,Electronics,1,199.99
TX1005,2025-03-01T09:20:00Z,Store_B,CUST05,Clothing,3,39.99
TX1006,2025-03-01T09:25:00Z,Store_A,CUST06,Home,2,79.99
TX1007,2025-03-01T09:30:00Z,Store_C,CUST07,Electronics,-1,149.99
TX1008,2025-03-01T09:35:00Z,Store_B,CUST08,Clothing,1,-59.99
TX1009,2025-03-01T09:40:00Z,Store_A,CUST09,Home,1,129.99
